start_read_date,end_read_date,total_consumption,time_of_peak_demand,total_cost
2018-01-04 00:00:00,2018-02-02 00:00:00,348084.04010456434,17:21:00,57279.963772255076
2018-02-02 00:00:00,2018-03-06 00:00:00,491423.89362991235,15:26:00,63974.424755747816
2018-03-06 00:00:00,2018-04-04 00:00:00,279274.152349914,16:26:00,53999.517417905874
2018-04-04 00:00:00,2018-05-04 00:00:00,353168.43185261433,18:09:00,72502.30299920436
2018-05-04 00:00:00,2018-06-05 00:00:00,452668.3588717997,12:24:00,73100.08936291168
2018-06-05 00:00:00,2018-07-05 00:00:00,410008.85585531255,16:03:00,71704.23977275493
2018-07-05 00:00:00,2018-08-03 00:00:00,580891.1124537276,11:53:00,81072.64410620437
2018-08-03 00:00:00,2018-09-04 00:00:00,553221.0165238639,09:52:00,87202.9540882761
2018-09-04 00:00:00,2018-10-03 00:00:00,401508.5691295834,09:58:00,84102.74991818583
2018-10-03 00:00:00,2018-11-02 00:00:00,458404.18686551997,16:42:00,74692.28704524733
2018-11-02 00:00:00,2018-12-05 00:00:00,401006.9203422639,12:58:00,50400.34991249494
2018-12-05 00:00:00,2019-01-04 00:00:00,336122.1904636274,13:42:00,55563.060989819125
2019-01-04 00:00:00,2019-02-04 00:00:00,264374.32737849676,15:01:00,53111.06968507983
2019-02-04 00:00:00,2019-03-06 00:00:00,275331.3250704075,12:27:00,73978.94788600899
2019-03-06 00:00:00,2019-04-04 00:00:00,311812.61019992974,12:30:00,69596.24024167488
2019-04-04 00:00:00,2019-05-06 00:00:00,469904.6314223439,12:48:00,82217.74255973227
2019-05-06 00:00:00,2019-06-05 00:00:00,433657.13891556143,09:25:00,62755.97552913139
2019-06-05 00:00:00,2019-07-05 00:00:00,448080.86845286516,12:22:00,76061.29446024333
2019-07-05 00:00:00,2019-08-05 00:00:00,464994.6204207627,10:39:00,97098.48000197452
2019-08-05 00:00:00,2019-09-04 00:00:00,620860.7756282152,09:48:00,92652.33191846532
2019-09-04 00:00:00,2019-10-03 00:00:00,449066.493303029,13:35:00,72525.09569006841
2019-10-03 00:00:00,2019-11-04 00:00:00,417903.63707280456,09:20:00,60364.07187691313
2019-11-04 00:00:00,2019-12-05 00:00:00,339194.3475980221,13:16:00,46952.63740663722
2019-12-05 00:00:00,2020-01-06 00:00:00,383069.48382070777,13:47:00,46114.48992862638
2020-01-06 00:00:00,2020-02-05 00:00:00,354458.6072371984,14:55:00,59375.84753370195
2020-02-05 00:00:00,2020-03-05 00:00:00,339591.83670859097,14:21:00,41739.97322264071
2020-03-05 00:00:00,2020-04-03 00:00:00,297447.7883369084,15:23:00,45505.03791372732
2020-04-03 00:00:00,2020-05-05 00:00:00,186566.5532136107,13:52:00,40560.847228764535
2020-05-05 00:00:00,2020-06-04 00:00:00,285336.18941394537,11:46:00,33528.05642406564
2020-06-04 00:00:00,2020-07-06 00:00:00,406096.3724578126,11:52:00,73537.76107870271
2020-07-06 00:00:00,2020-08-04 00:00:00,440952.44654873636,16:10:00,62296.11493123503
2020-08-04 00:00:00,2020-09-02 00:00:00,424538.31025176274,13:23:00,77387.97749787633
2020-09-02 00:00:00,2020-10-02 00:00:00,506387.53247378435,15:05:00,82288.82609526224
2020-10-02 00:00:00,2020-11-03 00:00:00,465975.5483820173,17:08:00,57867.788241279515
2020-11-03 00:00:00,2020-12-04 00:00:00,453219.4885477653,15:57:00,51248.94999561656
2020-12-04 00:00:00,2021-01-06 00:00:00,287592.36817005486,10:42:00,53203.1943441724
2021-01-06 00:00:00,2021-02-04 00:00:00,286504.3545885947,10:55:00,41337.06920395374
2021-02-04 00:00:00,2021-03-04 00:00:00,317261.8261569925,12:52:00,48305.35105455671
2021-03-04 00:00:00,2021-04-05 00:00:00,394681.9739674823,18:50:00,52913.81884012297
2021-04-05 00:00:00,2021-05-05 00:00:00,390945.30164195306,12:24:00,67571.2564145679
2021-05-05 00:00:00,2021-06-04 00:00:00,500786.9200618487,13:51:00,64908.58362870181
2021-06-04 00:00:00,2021-07-06 00:00:00,559721.9369480193,10:36:00,104254.11354550687
2021-07-06 00:00:00,2021-08-04 00:00:00,431671.2532746709,12:32:00,68518.66623049173
2021-08-04 00:00:00,2021-09-02 00:00:00,511965.76958354784,14:59:00,89821.96156820217
2021-09-02 00:00:00,2021-10-04 00:00:00,508647.98935331986,15:06:00,101026.54384451872
2021-10-04 00:00:00,2021-11-03 00:00:00,506940.1709047599,13:21:00,89328.73829961731
2021-11-03 00:00:00,2021-12-06 00:00:00,480501.62871952815,14:31:00,52434.06322107704
2021-12-06 00:00:00,2022-01-04 00:00:00,359084.41799616034,15:31:00,50088.98958221721
2022-01-04 00:00:00,2022-02-03 00:00:00,415090.72230323165,12:24:00,57283.32974416962
